Entity,Year,Population,Energy Consumed,GDP
Australia,1990,16961000,5061.508459,28658.3658903333
Australia,1991,17189000,4927.78159,28185.7529003265
Australia,1992,17402000,4959.214919,27969.0661165142
Australia,1993,17603000,5147.53665,28815.4629795064
Australia,1994,17799000,5089.788966676,29646.4192650494
Australia,1995,17993000,5129.223661,30412.0780548637
Australia,1996,18189000,5393.580635,31179.3078735732
Australia,1997,18387000,5469.599989,32055.3850594342
Australia,1998,18587000,5553.653466,33174.9076526314
Australia,1999,18788000,5610.344711,34443.8661779261
Australia,2000,18991000,5644.064951,35377.729551754
Australia,2001,19195000,5446.973214,35578.642071091
Australia,2002,19401000,5569.640992,36553.9646143988
Australia,2003,19624000,5568.764941,37183.6845735971
Australia,2004,19880000,5598.088178,38225.6937136627
Australia,2005,20179000,5564.087169,38928.0407567854
Australia,2006,20526000,5709.344668,39445.1329184684
Australia,2007,20916000,5868.347097,40680.1896301231
Australia,2008,21332000,5964.665776,41331.5279733539
Australia,2009,21751000,5862.551944,41266.8663842235
Australia,2010,22155000,5793.116026,41464.0400696359
Australia,2011,22538000,5745.23219,41894.1730524786
Australia,2012,22904000,5573.078304,42754.4562863267
Australia,2013,23255000,5464.192602,43118.0861274364
Australia,2014,23596000,5328.223992,43547.1974836868
Australia,2015,23932000,5475.81765,43923.2582693466
Bangladesh,1990,103172000,119.9545805,1287.93366418737
Bangladesh,1991,105599000,115.477325,1301.69965941864
Bangladesh,1992,107984000,119.15375,1341.76334138033
Bangladesh,1993,110351000,123.0689467,1374.41890576168
Bangladesh,1994,112738000,125.7874922,1397.31861864065
Bangladesh,1995,115170000,133.9446139,1437.6397305204
Bangladesh,1996,117650000,131.8906722,1470.90745239521
Bangladesh,1997,120161000,134.903763,1504.87169006458
Bangladesh,1998,122683000,137.7494292,1550.31803503193
Bangladesh,1999,125190000,136.7841763,1590.25166657181
Bangladesh,2000,127658000,138.7883454,1641.95876843278
Bangladesh,2001,130089000,148.9587133,1692.82911877697
Bangladesh,2002,132478000,149.7331122,1725.63200463028
Bangladesh,2003,134792000,155.0327858,1775.97815407773
